8	2	5	6	3	7	103	1
8	2	12	0	3	3	100	1
70	2	0	4	1	6	69	2
70	3	0	4	1	6	68	2
71	1	0	4	4	6	69	2
50	2	0	4	1	6	480	2
70	5	0	4	5	6	90	2
80	2	12	6	3	7	110	1
80	3	12	6	3	7	111	1
8	2	5	6	3	7	103	1
8	2	12	0	3	3	100	1
70	2	0	4	1	6	69	2
70	3	0	4	1	6	68	2
71	1	0	4	4	6	69	2
50	2	0	4	1	6	480	2
70	5	0	4	5	6	90	2
8	2	5	6	3	7	103	1
8	2	12	0	3	3	100	1
70	2	0	4	1	6	69	2
70	3	0	4	1	6	68	2
71	1	0	4	4	6	69	2
50	2	0	4	1	6	480	2
70	5	0	4	5	6	90	2
80	2	12	6	3	7	110	1
80	3	12	6	3	7	111	1
8	2	5	6	3	7	103	1
8	2	12	0	3	3	100	1
70	2	0	4	1	6	69	2
70	3	0	4	1	6	68	2
71	1	0	4	4	6	69	2
50	2	0	4	1	6	480	2
70	5	0	4	5	6	90	2
